# How Plaid's personal finance category becomes our two axes.
#
# Policy lives here rather than in a switch, so adding a category is one row and no code changes.
# Taxonomy: PFC **v2**, which is what the sandbox returns today. v2 renamed some v1 values, so
# INCOME_SALARY appears here and the documented v1 INCOME_WAGES does not.
#
# kind is one of SPEND, TRANSFER_INTERNAL, TRANSFER_EXTERNAL, INCOME, REFUND, FEE.
# category is set if and only if kind is SPEND.
#
# savings  "savings" on the transfers that add to what the user has put by, and blank everywhere
#          else. Only the provider can tell a payment into savings from a credit-card bill being
#          paid - both are transfers between the user's own accounts - and reporting the two added
#          together would tell somebody they had saved the amount they just paid off their card.
#          Money coming back out of savings carries the same flag with a negative amount, so a month
#          of paying in and taking out nets off instead of counting twice.
#
# source=observed  this value appears in the committed sandbox fixtures, and a test asserts it is
#                  still mapped. Every one was read off real data rather than predicted: the gym
#                  really does arrive as PERSONAL_CARE, and payroll really can arrive as a restaurant.
# source=documented  in Plaid's published taxonomy but absent from the fixtures. Without these rows a
#                  real user's electricity bill would land in "Everything else" and be treated as
#                  discretionary rather than capped against their city.
#
# Every row is one or the other, and a test enforces it against a committed copy of Plaid's published
# taxonomy: a row that is neither observed nor published is a name somebody invented, and it would
# sit here matching nothing forever. The same test fails if Plaid's list gains a value this table
# does not answer for.
#
# Note the two lists disagree, which is the point of keeping both. Seven observed values - among them
# INCOME_SALARY, LOAN_PAYMENTS_BNPL and LOAN_PAYMENTS_EWA - are absent from the published taxonomy
# because the sandbox emits v2 while that document is the older list. Real traffic wins.
#
# Two things the account itself decides, not this table, because the same category means different
# things depending on where it lands (see AccountRole):
#   - money arriving on a credit card or loan account is never income; it settles a debt
#   - a loan account only mirrors cash that moved somewhere else, so it is never spending
#
pfc_detailed,kind,category,savings,source,why

BANK_FEES_ATM_FEES,FEE,,,documented,
BANK_FEES_FOREIGN_TRANSACTION_FEES,FEE,,,documented,
BANK_FEES_INSUFFICIENT_FUNDS,FEE,,,documented,
BANK_FEES_INTEREST_CHARGE,FEE,,,observed,Interest on a carried balance is a real cost but not a purchase
BANK_FEES_OTHER_BANK_FEES,FEE,,,documented,
BANK_FEES_OVERDRAFT_FEES,FEE,,,documented,Charged for going overdrawn; a real cost and one worth naming rather than burying
ENTERTAINMENT_CASINOS_AND_GAMBLING,SPEND,ENTERTAINMENT,,observed,
ENTERTAINMENT_MUSIC_AND_AUDIO,SPEND,ENTERTAINMENT,,observed,Spotify here; becomes a subscription when it recurs
ENTERTAINMENT_OTHER_ENTERTAINMENT,SPEND,ENTERTAINMENT,,observed,
ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,SPEND,ENTERTAINMENT,,observed,
ENTERTAINMENT_TV_AND_MOVIES,SPEND,ENTERTAINMENT,,observed,Netflix here; a cinema ticket lands here too so it is not a subscription by itself
ENTERTAINMENT_VIDEO_GAMES,SPEND,ENTERTAINMENT,,observed,
FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR,SPEND,ENTERTAINMENT,,observed,Drinks out and off-licence alike are discretionary rather than the weekly shop
FOOD_AND_DRINK_COFFEE,SPEND,DINING_OUT,,observed,
FOOD_AND_DRINK_FAST_FOOD,SPEND,DINING_OUT,,observed,
FOOD_AND_DRINK_GROCERIES,SPEND,GROCERIES,,observed,The one food value that is capped against the city rather than treated as discretionary
FOOD_AND_DRINK_OTHER_FOOD_AND_DRINK,SPEND,DINING_OUT,,observed,
FOOD_AND_DRINK_RESTAURANT,SPEND,DINING_OUT,,observed,Also carries this user's payroll; a recurring inflow is reclassified as income
FOOD_AND_DRINK_VENDING_MACHINES,SPEND,DINING_OUT,,documented,
GENERAL_MERCHANDISE_BOOKSTORES_AND_NEWSSTANDS,SPEND,OTHER,,observed,
GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,SPEND,CLOTHING,,documented,
